Topic,BM25,JMLM,My_PRM
R101,0.5,0.5,0.5
R102,0.6,0.6,0.6
R103,0.5,0.4,0.4
R104,1.0,0.8,1.0
R105,0.7,0.7,0.6
R106,0.2,0.2,0.3
R107,0.2,0.2,0.0
R108,0.1,0.1,0.2
R109,0.6,0.8,1.0
R110,0.4,0.4,0.4
R111,0.0,0.0,0.2
R112,0.6,0.6,0.6
R113,0.6,0.6,0.7
R114,0.5,0.5,0.5
R115,0.2,0.2,0.1
R116,0.2,0.1,0.6
R117,0.2,0.2,0.2
R118,0.3,0.2,0.2
R119,0.0,0.0,0.2
R120,0.6,0.5,0.5
R121,0.6,0.8,0.9
R122,0.4,0.5,0.7
R123,0.1,0.2,0.2
R124,0.4,0.4,0.4
R125,0.7,0.7,0.7
R126,0.7,0.6,0.9
R127,0.5,0.4,0.3
R128,0.1,0.1,0.2
R129,0.4,0.6,0.8
R130,0.3,0.3,0.3
R131,0.1,0.1,0.1
R132,0.2,0.2,0.1
R133,0.5,0.5,0.2
R134,0.1,0.1,0.2
R135,0.2,0.5,0.3
R136,0.4,0.4,0.5
R137,0.3,0.3,0.3
R138,0.1,0.2,0.0
R139,0.3,0.2,0.3
R140,0.9,0.9,0.4
R141,0.9,0.6,0.9
R142,0.1,0.1,0.1
R143,0.0,0.0,0.1
R144,0.3,0.4,0.4
R145,0.0,0.0,0.0
R146,0.1,0.1,0.7
R147,0.5,0.4,0.5
R148,0.1,0.2,0.0
R149,0.2,0.2,0.1
R150,0.4,0.4,0.2
