Topic,BM25,JMLM,My_PRM
R101,0.6646825396825397,0.6646825396825397,0.8001443001443
R102,0.79265876880136,0.7898595255215095,0.6925066794236798
R103,0.3834981667799152,0.35234997858024114,0.43931592367122346
R104,0.9153278098867003,0.8408964615056547,0.9402058905296434
R105,0.764828253102247,0.6463223632541089,0.6400000495612919
R106,0.4252450980392157,0.4146103896103896,0.7259615384615384
R107,0.358974358974359,0.3034188034188034,0.08187134502923978
R108,0.1284722222222222,0.13425925925925924,0.1693121693121693
R109,0.6346408537852053,0.6780738289426723,0.9471812865497077
R110,0.48666666666666664,0.3675925925925926,0.8133333333333332
R111,0.13075396825396826,0.13075396825396826,0.1946127946127946
R112,1.0,0.9444444444444445,1.0
R113,0.6353493232465427,0.565796122903966,0.718705157501597
R114,0.885,0.9028571428571428,0.9428571428571428
R115,0.32539682539682535,0.25833333333333336,0.21805555555555556
R116,0.3010321223685927,0.2592740554756538,0.6713375166500167
R117,0.2686868686868687,0.48333333333333334,0.4909090909090909
R118,0.29444444444444445,0.2611111111111111,0.2222222222222222
R119,0.13212949653545628,0.13212949653545628,0.21609848484848482
R120,0.5227934974311785,0.5069234862403742,0.5114638447971781
R121,0.6007837917775806,0.7222153804050355,0.9038841457115403
R122,0.5527895873712941,0.5621328951356547,0.6761817829205048
R123,0.4772727272727273,0.45263157894736844,0.4431216931216932
R124,0.39051689051689054,0.4477092955353825,0.6206763285024155
R125,0.6858465608465608,0.5180555555555555,0.5746141032170443
R126,0.5824732290367892,0.6059451549079188,0.906198103823165
R127,0.5746031746031746,0.42329004329004327,0.5567340067340066
R128,0.3280844155844156,0.20543345543345543,0.39211309523809523
R129,0.4977382602362585,0.46696827772478994,0.7885324846949607
R130,0.6984126984126983,0.5916666666666667,0.7555555555555555
R131,0.42457542457542463,0.25557359307359306,0.12255510571300045
R132,0.2188577956435099,0.2138726144365242,0.19477857539485716
R133,1.0,1.0,0.5425133689839572
R134,0.17903762903762904,0.23315018315018313,0.1511469534050179
R135,0.3821135716710251,0.6069869775533391,0.41913566217755066
R136,0.3654425883256528,0.3717849679056575,0.48888888888888893
R137,1.0,0.8666666666666667,0.8333333333333334
R138,0.2095092999182491,0.18910369156607185,0.11481836876573717
R139,0.8666666666666667,0.7380952380952381,0.7916666666666666
R140,0.812765611295023,0.6952886002886003,0.43033496806224075
R141,0.8436196918360164,0.7252656877740787,0.7170531504752501
R142,0.17713675213675212,0.20577843209422159,0.36817738791423005
R143,0.13027713027713028,0.11038587848932677,0.1277126099706745
R144,0.37609751359751353,0.4127806890964785,0.7599358974358975
R145,0.045549312783355334,0.06271008593715985,0.04562215281202623
R146,0.3979494594420848,0.34666740816003355,0.5925449998030643
R147,0.6442982456140351,0.3627113526570049,0.498015873015873
R148,0.34895213038595396,0.3525506152344388,0.28704762035525794
R149,0.20048133153396314,0.21165071770334926,0.22255494505494505
R150,0.41944444444444445,0.5,0.18272357723577234
